,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,23.0,8.0,0.0,21.0,453.0,15.0,237.0
EPAD,603.0,45.0,7.0,3.0,19.0,426.0,1.0,133.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,46.0,3.0,18.0,1.0,1.0,67.0,61.0,20.0
EDSD,16.0,1.0,3.0,1.0,2.0,41.0,10.0,11.0
PREVENT-AD,97.0,16.0,0.0,8.0,1.0,7.0,1.0,3.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,64.0,9.0,22.0
NACC,172.0,6.0,4.0,7.0,21.0,204.0,34.0,58.0
EMIF,291.0,15.0,9.0,5.0,27.0,450.0,77.0,140.0
DOD-ADNI,44.0,6.0,0.0,1.0,2.0,54.0,0.0,6.0
JADNI,56.0,0.0,1.0,0.0,21.0,65.0,3.0,51.0
