,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,25.0,7.0,0.0,6.0,461.0,29.0,201.0
EPAD,581.0,57.0,2.0,5.0,20.0,410.0,9.0,153.0
AIBL,21.0,2.0,1.0,0.0,0.0,20.0,3.0,10.0
ARWIBO,29.0,1.0,5.0,1.0,2.0,117.0,48.0,14.0
EDSD,19.0,2.0,3.0,1.0,4.0,29.0,9.0,18.0
PREVENT-AD,96.0,2.0,4.0,0.0,0.0,27.0,4.0,0.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,61.0,12.0,22.0
NACC,163.0,5.0,10.0,3.0,10.0,195.0,57.0,63.0
EMIF,289.0,24.0,19.0,12.0,33.0,360.0,72.0,205.0
DOD-ADNI,44.0,12.0,2.0,1.0,0.0,45.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,15.0,68.0,5.0,53.0
