,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,34.0,9.0,0.0,41.0,402.0,7.0,249.0
EPAD,595.0,47.0,7.0,3.0,16.0,423.0,6.0,140.0
AIBL,21.0,0.0,0.0,0.0,5.0,28.0,0.0,3.0
ARWIBO,61.0,2.0,9.0,1.0,2.0,93.0,43.0,6.0
EDSD,25.0,1.0,2.0,2.0,11.0,25.0,4.0,15.0
PREVENT-AD,1.0,1.0,0.0,2.0,23.0,96.0,0.0,10.0
PharmaCog,42.0,0.0,0.0,0.0,3.0,77.0,2.0,21.0
NACC,187.0,5.0,10.0,3.0,12.0,190.0,47.0,52.0
EMIF,231.0,13.0,6.0,73.0,131.0,378.0,35.0,147.0
DOD-ADNI,12.0,7.0,0.0,3.0,2.0,80.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,21.0,79.0,2.0,38.0
