,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,24.0,5.0,0.0,16.0,479.0,23.0,190.0
EPAD,593.0,58.0,3.0,3.0,15.0,403.0,11.0,151.0
AIBL,11.0,0.0,0.0,0.0,1.0,37.0,0.0,8.0
ARWIBO,44.0,10.0,4.0,10.0,13.0,70.0,9.0,57.0
EDSD,24.0,0.0,1.0,2.0,1.0,52.0,1.0,4.0
PREVENT-AD,115.0,13.0,1.0,2.0,0.0,2.0,0.0,0.0
PharmaCog,41.0,3.0,4.0,0.0,2.0,52.0,18.0,25.0
NACC,164.0,6.0,10.0,4.0,15.0,203.0,43.0,61.0
EMIF,301.0,18.0,16.0,6.0,23.0,387.0,82.0,181.0
DOD-ADNI,25.0,9.0,0.0,2.0,0.0,69.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,20.0,72.0,2.0,48.0
