,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,33.0,8.0,0.0,29.0,420.0,13.0,236.0
EPAD,590.0,57.0,2.0,5.0,20.0,401.0,9.0,153.0
AIBL,14.0,0.0,3.0,0.0,0.0,29.0,2.0,9.0
ARWIBO,53.0,2.0,9.0,1.0,2.0,94.0,48.0,8.0
EDSD,26.0,1.0,4.0,1.0,1.0,32.0,10.0,10.0
PREVENT-AD,104.0,10.0,1.0,1.0,0.0,13.0,1.0,3.0
PharmaCog,46.0,2.0,1.0,0.0,4.0,68.0,3.0,21.0
NACC,181.0,7.0,10.0,3.0,7.0,169.0,62.0,67.0
EMIF,289.0,12.0,13.0,6.0,39.0,439.0,62.0,154.0
DOD-ADNI,34.0,10.0,1.0,1.0,0.0,59.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,8.0,74.0,7.0,51.0
