,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,256.0,24.0,4.0,0.0,33.0,452.0,11.0,237.0
EPAD,590.0,53.0,4.0,6.0,18.0,410.0,9.0,147.0
AIBL,9.0,0.0,1.0,0.0,0.0,38.0,5.0,4.0
ARWIBO,57.0,2.0,15.0,1.0,1.0,74.0,61.0,6.0
EDSD,22.0,1.0,5.0,1.0,0.0,27.0,23.0,6.0
PREVENT-AD,74.0,12.0,0.0,7.0,1.0,32.0,1.0,6.0
PharmaCog,46.0,1.0,0.0,0.0,4.0,73.0,2.0,19.0
NACC,160.0,6.0,15.0,10.0,20.0,184.0,49.0,62.0
EMIF,289.0,16.0,18.0,7.0,29.0,399.0,89.0,167.0
DOD-ADNI,48.0,8.0,1.0,1.0,0.0,47.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,12.0,63.0,7.0,59.0
