,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,27.0,12.0,0.0,3.0,457.0,29.0,221.0
EPAD,580.0,43.0,8.0,3.0,14.0,444.0,4.0,141.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,47.0,6.0,2.0,8.0,27.0,80.0,7.0,40.0
EDSD,25.0,2.0,3.0,1.0,7.0,27.0,4.0,16.0
PREVENT-AD,73.0,13.0,0.0,12.0,2.0,25.0,1.0,7.0
PharmaCog,43.0,1.0,2.0,0.0,1.0,71.0,5.0,22.0
NACC,174.0,4.0,12.0,1.0,8.0,208.0,59.0,40.0
EMIF,316.0,15.0,9.0,14.0,52.0,423.0,32.0,153.0
DOD-ADNI,49.0,7.0,0.0,2.0,0.0,47.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,25.0,67.0,2.0,46.0
