,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,27.0,0.0,3.0,50.0,459.0,4.0,194.0
EPAD,595.0,50.0,4.0,5.0,21.0,415.0,6.0,141.0
AIBL,9.0,2.0,0.0,11.0,18.0,6.0,0.0,11.0
ARWIBO,51.0,5.0,11.0,2.0,3.0,77.0,42.0,26.0
EDSD,20.0,2.0,4.0,1.0,6.0,29.0,6.0,17.0
PREVENT-AD,20.0,3.0,0.0,1.0,1.0,101.0,1.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,69.0,4.0,21.0
NACC,157.0,6.0,14.0,12.0,21.0,193.0,45.0,58.0
EMIF,320.0,21.0,10.0,12.0,47.0,393.0,55.0,156.0
DOD-ADNI,37.0,6.0,0.0,1.0,2.0,61.0,0.0,6.0
JADNI,55.0,0.0,1.0,0.0,35.0,60.0,2.0,44.0
