,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,30.0,11.0,0.0,14.0,433.0,16.0,239.0
EPAD,588.0,59.0,3.0,3.0,17.0,402.0,10.0,155.0
AIBL,19.0,0.0,2.0,0.0,0.0,25.0,2.0,9.0
ARWIBO,46.0,2.0,19.0,1.0,0.0,68.0,75.0,6.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,8.0,110.0,1.0,13.0
PharmaCog,45.0,2.0,1.0,0.0,4.0,69.0,3.0,21.0
NACC,166.0,7.0,12.0,3.0,10.0,191.0,53.0,64.0
EMIF,290.0,11.0,10.0,5.0,37.0,456.0,65.0,140.0
DOD-ADNI,14.0,10.0,1.0,0.0,1.0,75.0,1.0,11.0
JADNI,54.0,0.0,1.0,0.0,31.0,65.0,2.0,44.0
