,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,35.0,8.0,0.0,30.0,410.0,13.0,242.0
EPAD,583.0,51.0,5.0,3.0,14.0,429.0,7.0,145.0
AIBL,20.0,0.0,2.0,0.0,0.0,24.0,2.0,9.0
ARWIBO,57.0,5.0,10.0,2.0,4.0,84.0,37.0,18.0
EDSD,19.0,1.0,4.0,1.0,0.0,39.0,16.0,5.0
PREVENT-AD,112.0,14.0,2.0,4.0,0.0,1.0,0.0,0.0
PharmaCog,43.0,0.0,0.0,3.0,10.0,72.0,0.0,17.0
NACC,139.0,4.0,12.0,11.0,14.0,204.0,61.0,61.0
EMIF,295.0,13.0,11.0,5.0,38.0,434.0,64.0,154.0
DOD-ADNI,36.0,11.0,1.0,1.0,1.0,55.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,22.0,69.0,3.0,49.0
