,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,20.0,0.0,1.0,50.0,498.0,3.0,180.0
EPAD,589.0,52.0,5.0,5.0,16.0,417.0,6.0,147.0
AIBL,6.0,2.0,0.0,10.0,20.0,8.0,0.0,11.0
ARWIBO,31.0,1.0,5.0,1.0,3.0,125.0,42.0,9.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,13.0,7.0
PREVENT-AD,99.0,12.0,1.0,11.0,0.0,7.0,0.0,3.0
PharmaCog,40.0,0.0,3.0,0.0,1.0,65.0,12.0,24.0
NACC,161.0,7.0,15.0,12.0,18.0,177.0,49.0,67.0
EMIF,301.0,22.0,19.0,8.0,26.0,371.0,87.0,180.0
DOD-ADNI,50.0,8.0,0.0,1.0,0.0,46.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,18.0,82.0,2.0,40.0
