,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,22.0,7.0,0.0,4.0,479.0,34.0,199.0
EPAD,590.0,53.0,4.0,5.0,18.0,415.0,6.0,146.0
AIBL,17.0,0.0,2.0,1.0,0.0,26.0,2.0,9.0
ARWIBO,64.0,2.0,8.0,1.0,2.0,99.0,34.0,7.0
EDSD,20.0,1.0,5.0,1.0,0.0,28.0,25.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,120.0,1.0,9.0
PharmaCog,46.0,2.0,7.0,0.0,1.0,50.0,15.0,24.0
NACC,158.0,4.0,9.0,4.0,15.0,210.0,51.0,55.0
EMIF,281.0,16.0,14.0,8.0,33.0,392.0,89.0,181.0
DOD-ADNI,19.0,6.0,0.0,1.0,1.0,79.0,0.0,7.0
JADNI,55.0,0.0,1.0,0.0,31.0,68.0,2.0,40.0
