,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,32.0,10.0,0.0,40.0,406.0,4.0,261.0
EPAD,575.0,47.0,3.0,5.0,22.0,439.0,3.0,143.0
AIBL,15.0,1.0,2.0,0.0,0.0,22.0,8.0,9.0
ARWIBO,56.0,2.0,9.0,1.0,2.0,96.0,45.0,6.0
EDSD,20.0,1.0,4.0,0.0,0.0,33.0,23.0,4.0
PREVENT-AD,25.0,6.0,0.0,1.0,1.0,92.0,1.0,7.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,69.0,4.0,23.0
NACC,167.0,6.0,16.0,3.0,6.0,169.0,75.0,64.0
EMIF,288.0,17.0,8.0,7.0,43.0,422.0,68.0,161.0
DOD-ADNI,51.0,7.0,0.0,1.0,0.0,46.0,0.0,8.0
JADNI,55.0,0.0,2.0,0.0,19.0,60.0,6.0,55.0
