,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,287.0,25.0,8.0,0.0,4.0,462.0,33.0,198.0
EPAD,595.0,49.0,3.0,6.0,21.0,419.0,3.0,141.0
AIBL,13.0,0.0,0.0,0.0,1.0,34.0,1.0,8.0
ARWIBO,41.0,6.0,5.0,9.0,19.0,78.0,8.0,51.0
EDSD,9.0,1.0,3.0,1.0,7.0,43.0,4.0,17.0
PREVENT-AD,84.0,5.0,1.0,2.0,0.0,35.0,1.0,5.0
PharmaCog,44.0,2.0,2.0,0.0,2.0,62.0,10.0,23.0
NACC,184.0,9.0,14.0,21.0,33.0,140.0,35.0,70.0
EMIF,243.0,23.0,9.0,67.0,82.0,373.0,66.0,151.0
DOD-ADNI,37.0,8.0,0.0,0.0,0.0,60.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,17.0,65.0,5.0,53.0
