,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,23.0,6.0,0.0,12.0,466.0,20.0,228.0
EPAD,592.0,58.0,2.0,6.0,20.0,402.0,7.0,150.0
AIBL,20.0,0.0,2.0,0.0,1.0,26.0,0.0,8.0
ARWIBO,46.0,13.0,9.0,4.0,2.0,63.0,29.0,51.0
EDSD,24.0,0.0,1.0,2.0,6.0,43.0,1.0,8.0
PREVENT-AD,113.0,6.0,4.0,0.0,0.0,8.0,1.0,1.0
PharmaCog,37.0,2.0,3.0,0.0,2.0,56.0,19.0,26.0
NACC,165.0,3.0,10.0,2.0,12.0,221.0,43.0,50.0
EMIF,315.0,23.0,11.0,7.0,32.0,393.0,55.0,178.0
DOD-ADNI,47.0,8.0,3.0,0.0,0.0,47.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,28.0,66.0,2.0,44.0
