,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,257.0,28.0,9.0,0.0,48.0,403.0,4.0,268.0
EPAD,570.0,51.0,3.0,6.0,21.0,430.0,5.0,151.0
AIBL,9.0,0.0,0.0,0.0,6.0,39.0,0.0,3.0
ARWIBO,53.0,2.0,15.0,1.0,0.0,72.0,68.0,6.0
EDSD,27.0,1.0,2.0,3.0,6.0,26.0,4.0,16.0
PREVENT-AD,93.0,7.0,2.0,1.0,0.0,25.0,1.0,4.0
PharmaCog,47.0,1.0,2.0,0.0,2.0,69.0,3.0,21.0
NACC,157.0,10.0,6.0,4.0,15.0,197.0,45.0,72.0
EMIF,301.0,16.0,10.0,8.0,42.0,430.0,54.0,153.0
DOD-ADNI,5.0,5.0,0.0,1.0,1.0,91.0,0.0,10.0
JADNI,57.0,0.0,1.0,0.0,31.0,66.0,2.0,40.0
